Make,Model,'Vehicle Class','Engine Size(L)',Cylinders,Transmission,'Fuel Type','Fuel Consumption City (L/100 km)','Fuel Consumption Hwy (L/100 km)','Fuel Consumption Comb (L/100 km)','Fuel Consumption Comb (mpg)','CO2 Emissions(g/km)'
BMW,'228i xDRIVE',SUBCOMPACT,2,4,AS8,Z,10.4,6.8,8.8,32,207
ROLLS-ROYCE,GHOST,FULL-SIZE,6.6,12,AS8,Z,19.2,12.4,16.1,18,370
PORSCHE,'911 Carrera 4 GTS',MINICOMPACT,3,6,M7,Z,12.8,8.9,11,26,257
JEEP,'CHEROKEE 4X4 ACTIVE DRIVE II','SUV - SMALL',2.4,4,A9,X,11.4,8.6,10.1,28,232
PORSCHE,'BOXSTER S',TWO-SEATER,2.5,4,M6,Z,12.1,9,10.7,26,249
MERCEDES-BENZ,'G 63 AMG','SUV - STANDARD',5.5,8,AS7,Z,20,16.6,18.5,15,426
VOLVO,'XC60 T5 AWD','SUV - SMALL',2.5,5,AS6,X,12.5,9.2,11,26,254
JAGUAR,'XE 25t AWD',COMPACT,2,4,AS8,Z,9.8,6.9,8.5,33,200
CHRYSLER,'PACIFICA (Stop-Start)',MINIVAN,3.6,6,A9,X,12.4,8.4,10.6,27,249
KIA,'SPORTAGE AWD','SUV - SMALL',2.4,4,AS6,X,12,9.1,10.7,26,246
HYUNDAI,'ELANTRA GT',MID-SIZE,2,4,M6,X,9.8,6.9,8.5,33,196
MERCEDES-BENZ,'CL 63 AMG',COMPACT,5.5,8,AS7,Z,15.4,11,13.4,21,308
LEXUS,'NX 300h AWD','SUV - SMALL',2.5,4,AV6,X,7.2,7.9,7.5,38,176
GMC,'TERRAIN FFV','SUV - SMALL',2.4,4,A6,X,10.5,7.3,9.1,31,214
BMW,'M8 Cabriolet Competition',SUBCOMPACT,4.4,8,AS8,Z,16,11,13.8,20,322
LINCOLN,'CONTINENTAL AWD',FULL-SIZE,3,6,AS6,X,14.4,9.7,12.3,23,288
FORD,'FLEX AWD (EcoBoost)','SUV - STANDARD',3.5,6,AS6,X,14.6,10.4,12.8,22,294
HYUNDAI,'VELOSTER TURBO',COMPACT,1.6,4,M6,X,9.4,7,8.3,34,197
HYUNDAI,'Veloster N',COMPACT,2,4,M6,X,10.6,8.3,9.5,30,226
VOLKSWAGEN,'Golf SportWagen 4MOTION','STATION WAGON - SMALL',1.8,4,AM6,X,10.8,8.1,9.6,29,224
BMW,320i,COMPACT,2,4,M6,Z,10.4,6.7,8.7,32,200
MITSUBISHI,Mirage,COMPACT,1.2,3,M5,X,7.1,5.8,6.5,43,151
FORD,'F-150 FFV (LT Tire Pkg)','PICKUP TRUCK - STANDARD',5,8,AS10,X,14.7,11.2,13.1,22,307
AUDI,A8L,FULL-SIZE,3,6,AS8,Z,13.1,8.8,11.2,25,258
KIA,'SOUL TURBO','STATION WAGON - SMALL',1.6,4,AM7,X,9.1,7.7,8.5,33,199
VOLKSWAGEN,TIGUAN,'SUV - SMALL',2,4,M6,Z,13,9,11.2,25,259
LINCOLN,'Continental AWD',FULL-SIZE,2.7,6,AS6,X,14,9.4,12,24,281
TOYOTA,'Prius c',COMPACT,1.5,4,AV,X,4.9,5.5,5.1,55,120
RAM,'1500 FFV','PICKUP TRUCK - STANDARD',3.6,6,A8,X,13.9,9.5,11.9,24,274
CADILLAC,CT4-V,COMPACT,2.7,4,AS10,Z,11.5,8.2,10,28,234
MERCEDES-BENZ,'AMG CLA 45 4MATIC',COMPACT,2,4,AM7,Z,10.3,7.9,9.2,31,217
VOLVO,'S60 T5 AWD',COMPACT,2.5,5,AS6,X,11.6,8.2,10.1,28,233
VOLVO,'S60 POLESTAR',COMPACT,2,4,AS8,Z,11.8,8.5,10.3,27,241
FORD,'F-150 FFV','PICKUP TRUCK - STANDARD',3.3,6,AS6,E,16.6,12.6,14.8,19,245
'ASTON MARTIN','VANTAGE GT',TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7,19,338
MAZDA,'Mazda3 5-Door 4WD',MID-SIZE,2.5,4,AS6,X,9.8,7.4,8.7,32,204
FORD,FIESTA,SUBCOMPACT,1.6,4,AS6,X,8.7,6.4,7.6,37,175
VOLVO,'S80 T5',MID-SIZE,2,4,AS8,X,9.8,6.6,8.4,34,193
BMW,'335i SEDAN',COMPACT,3,6,AS8,Z,11.4,7.4,9.6,29,221
VOLKSWAGEN,BEETLE,COMPACT,1.8,4,M5,X,9.9,7.2,8.7,32,200
FORD,'F-150 FFV 4X4','PICKUP TRUCK - STANDARD',3.3,6,AS6,E,17.6,13.7,15.8,18,263
BMW,'550i xDRIVE SEDAN',MID-SIZE,4.4,8,AS8,Z,14.4,9.7,12.3,23,283
NISSAN,GT-R,SUBCOMPACT,3.8,6,AM6,Z,14.4,10.9,12.8,22,300
VOLVO,'V60 CC T5 AWD','STATION WAGON - SMALL',2,4,AS8,Z,10.8,7.7,9.4,30,220
GMC,Canyon,'PICKUP TRUCK - SMALL',2.5,4,M6,X,11.9,9.2,10.7,26,251
ROLLS-ROYCE,Phantom,FULL-SIZE,6.7,12,AS8,Z,20,11.8,16.3,17,382
MERCEDES-BENZ,'AMG GT R Coupe',TWO-SEATER,4,8,AM7,Z,15.9,11.8,14,20,327
SCION,tC,COMPACT,2.5,4,M6,X,10.2,7.7,9,31,210
GMC,'SIERRA FFV','PICKUP TRUCK - STANDARD',4.3,6,A6,X,13.5,10,11.9,24,280
BMW,'X1 xDRIVE28i','SUV - SMALL',2,4,A8,Z,10.6,7.2,9.1,31,209
SUBARU,'LEGACY AWD',MID-SIZE,2.5,4,AV7,X,9.3,7,8.3,34,193
AUDI,Q3,COMPACT,2,4,AS6,Z,11.9,8.4,10.3,27,243
PORSCHE,'911 CARRERA 4',MINICOMPACT,3,6,AM7,Z,10.7,8.3,9.6,29,225
MERCEDES-BENZ,'ML 550 4MATIC','SUV - STANDARD',4.7,8,AS7,Z,16.3,11.8,14.2,20,327
TOYOTA,PRIUS,MID-SIZE,1.8,4,AV,X,4.3,4.6,4.5,63,105
FORD,Fusion,MID-SIZE,1.5,4,AS6,X,10,7,8.7,32,204
MERCEDES-BENZ,'B 250','STATION WAGON - SMALL',2,4,AS7,Z,9.2,6.6,8,35,184
MINI,'COOPER CLUBMAN',SUBCOMPACT,1.6,4,A6,Z,8.7,6.6,7.8,36,179
DODGE,CHARGER,FULL-SIZE,3.6,6,A5,X,13.7,8.9,11.5,25,264
TOYOTA,Highlander,'SUV - SMALL',3.5,6,AS8,X,11.9,8.3,10.3,27,240
MAZDA,MAZDA6,MID-SIZE,2.5,4,M6,X,9.4,6.4,8.1,35,186
MERCEDES-BENZ,'AMG GLC 63 S 4MATIC+ Coupe','SUV - SMALL',4,8,A9,Z,15,10.9,13.2,21,309
AUDI,'A7 QUATTRO',MID-SIZE,3,6,AS8,Z,11.6,7.9,9.9,29,232
PORSCHE,'911 CARRERA CABRIOLET',MINICOMPACT,3,6,AM7,Z,10.8,8.3,9.7,29,227
CHEVROLET,'CRUZE LIMITED ECO',MID-SIZE,1.4,4,M6,X,8.4,5.6,7.1,40,167
LEXUS,'IS 350 C',SUBCOMPACT,3.5,6,AS6,Z,12.2,8.7,10.6,27,244
VOLVO,'XC70 T5','SUV - SMALL',2,4,AS8,X,10.3,7.6,9.1,31,213
NISSAN,'FRONTIER 4WD','PICKUP TRUCK - SMALL',4,6,A5,X,15.7,11.3,13.7,21,322
PORSCHE,'911 CARRERA 4',MINICOMPACT,3.4,6,AM7,Z,11.6,8.5,10.2,28,235
GMC,SIERRA,'PICKUP TRUCK - STANDARD',4.3,6,A6,E,19.3,14.3,17.1,17,274
INFINITI,'Q60S RED SPORT AWD',SUBCOMPACT,3,6,AS7,Z,12.5,9.2,11,26,259
PORSCHE,'911 CARRERA 4 GTS',MINICOMPACT,3,6,M7,Z,12.8,8.9,11,26,257
ROLLS-ROYCE,'GHOST EWB',FULL-SIZE,6.6,12,AS8,Z,19.2,12.4,16.1,18,370
BUICK,'Envision AWD','SUV - SMALL',2,4,A9,Z,11.7,9.4,10.7,26,250
FORD,ESCAPE,'SUV - SMALL',1.6,4,AS6,X,10.4,7.4,9,31,207
MINI,'JOHN COOPER WORKS PACEMAN ALL4',COMPACT,1.6,4,A6,Z,10,7.8,9,31,207
CHEVROLET,TAHOE,'SUV - STANDARD',5.3,8,A6,E,20.2,13.6,17.2,16,275
AUDI,A8L,FULL-SIZE,4,8,AS8,Z,13.1,8.3,10.9,26,255
CHRYSLER,'300 AWD',FULL-SIZE,3.6,6,A8,X,12.8,8.7,11,26,258
CHEVROLET,'IMPALA DUAL FUEL',MID-SIZE,3.6,6,AS6,N,15.2,9.5,12.7,22,213
VOLKSWAGEN,'BEETLE CONVERTIBLE',SUBCOMPACT,1.8,4,AS6,X,9.8,7.3,8.7,32,200
VOLKSWAGEN,'Golf GTI',COMPACT,2,4,AM7,X,9.7,7.5,8.7,32,203
BMW,'328i xDRIVE GRAN TURISMO',FULL-SIZE,2,4,A8,Z,10.6,7.2,9.1,31,209
CHRYSLER,'Voyager (Stop-Start)',MINIVAN,3.6,6,A9,X,12.4,8.4,10.6,27,249
LEXUS,'NX 300h AWD','SUV - SMALL',2.5,4,AV6,X,7.1,7.7,7.4,38,170
PORSCHE,'911 CARRERA GTS CABRIOLET',MINICOMPACT,3,6,AM7,Z,11.8,9.2,10.6,27,249
PORSCHE,'CAYENNE GTS','SUV - STANDARD',4.8,8,A8,Z,16.7,11.5,14.4,20,338
FORD,'E350 WAGON FFV','VAN - PASSENGER',5.4,8,A4,E,26.7,20.5,23.9,12,382
TOYOTA,'FJ CRUISER 4WD','SUV - SMALL',4,6,A5,X,14.3,11.2,12.9,22,297
CHRYSLER,'300 AWD FFV',FULL-SIZE,3.6,6,A8,E,17.6,12,15,19,248
TOYOTA,TACOMA,'PICKUP TRUCK - SMALL',2.7,4,A4,X,12.2,9.3,10.9,26,251
CHEVROLET,'CRUZE PREMIER',COMPACT,1.4,4,AS6,X,8.1,6,7.2,39,169
MERCEDES-BENZ,'G 63 AMG','SUV - STANDARD',5.5,8,AS7,Z,20,16.6,18.5,15,426
GMC,'SAVANA 3500 PASSENGER','VAN - PASSENGER',6,8,A6,X,22.2,15.1,19,15,437
DODGE,'Grand Caravan',MINIVAN,3.6,6,A6,X,13.7,9.4,11.8,24,276
FORD,FUSION,MID-SIZE,2.5,4,AS6,X,10.5,6.9,8.9,32,209
VOLVO,'XC60 T5 AWD','SUV - SMALL',2,4,AS8,X,11.3,8.4,10,28,233
MINI,'COOPER 3 DOOR',SUBCOMPACT,1.5,3,AS6,Z,8.5,6.3,7.5,38,172
CHEVROLET,'Silverado 4WD','PICKUP TRUCK - STANDARD',4.3,6,A6,X,15.7,12,14.1,20,331
GMC,Canyon,'PICKUP TRUCK - SMALL',3.6,6,A8,X,13.4,9.6,11.7,24,274
MINI,'JOHN COOPER WORKS',SUBCOMPACT,2,4,AS6,Z,9.4,7.5,8.5,33,199
VOLKSWAGEN,CC,COMPACT,2,4,M6,Z,11.4,7.4,9.6,29,221
JAGUAR,'F-TYPE SVR AWD Convertible',TWO-SEATER,5,8,AS8,Z,15.2,9.8,12.7,22,299
LEXUS,'NX 200t AWD F SPORT','SUV - SMALL',2,4,AS6,Z,10.8,8.8,9.9,29,228
FORD,'TRANSIT CONNECT WAGON LWB FFV','SPECIAL PURPOSE VEHICLE',2.5,4,AS6,E,16.8,12.1,14.7,19,242
CHEVROLET,'IMPALA FFV',FULL-SIZE,3.6,6,AS6,X,12.7,8.5,10.8,26,254
CHRYSLER,'300 AWD',FULL-SIZE,3.6,6,A8,X,12.8,8.6,10.9,26,251
LEXUS,'GS F',COMPACT,5,8,AS8,Z,14.9,9.7,12.5,23,293
BENTLEY,'CONTINENTAL GT CONVERTIBLE',SUBCOMPACT,4,8,AS8,Z,17.7,10.3,14.4,20,337
'LAND ROVER','RANGE ROVER SUPERCHARGED','SUV - STANDARD',5,8,AS8,Z,17.2,12.5,15.1,19,356
BUICK,ENCORE,'SUV - SMALL',1.4,4,AS6,X,9.5,7.2,8.5,33,196
FORD,'EXPLORER FFV AWD','SUV - STANDARD',3.5,6,AS6,X,14.4,10.4,12.6,22,295
INFINITI,'Q50 HYBRID',COMPACT,3.5,6,AS7,Z,8.2,6.7,7.5,38,172
SUBARU,WRX,COMPACT,2,4,AV8,Z,12.4,9.4,11.1,25,255
BMW,M5,MID-SIZE,4.4,8,AS8,Z,16,11.2,13.9,20,324
'LAND ROVER','RANGE ROVER SPORT','SUV - STANDARD',3,6,AS8,Z,14.2,10.2,12.4,23,291
'LAND ROVER',LR2,'SUV - SMALL',2,4,AS6,Z,13.5,9.9,11.9,24,274
MAZDA,'MAZDA3 4-DOOR',COMPACT,2,4,AS6,X,8.4,6.4,7.5,38,176
MERCEDES-BENZ,'E 400 COUPE',SUBCOMPACT,3.5,6,AS7,Z,11.8,8.3,10.2,28,235
BMW,'528i xDRIVE SEDAN',MID-SIZE,2,4,AS8,Z,10.6,7.2,9.1,31,209
GMC,'Yukon FFV','SUV - STANDARD',5.3,8,A6,X,15.7,10.5,13.4,21,314
JAGUAR,'F-TYPE S CONVERTIBLE',TWO-SEATER,3,6,AS8,Z,12.2,8.7,10.6,27,244
TOYOTA,TACOMA,'PICKUP TRUCK - SMALL',4,6,M6,X,14.5,11.3,13.1,22,301
HONDA,CR-V,'SUV - SMALL',2.4,4,AV,X,8.8,6.9,7.9,36,186
DODGE,'CHALLENGER (MDS)',MID-SIZE,6.4,8,A8,Z,15.6,9.6,12.9,22,302
CHEVROLET,COLORADO,'PICKUP TRUCK - SMALL',2.5,4,A6,X,12,9.2,10.7,26,252
MERCEDES-BENZ,'AMG G 63','SUV - STANDARD',5.5,8,AS7,Z,20,16.6,18.5,15,413
CHEVROLET,'Cruze Hatchback Premier',MID-SIZE,1.4,4,AS6,X,8.5,6.4,7.5,38,175
MERCEDES-BENZ,'E 550 COUPE',SUBCOMPACT,4.7,8,AS7,Z,13.4,8.9,11.4,25,268
CHEVROLET,'SONIC 5','STATION WAGON - SMALL',1.4,4,M6,X,8.4,6.3,7.4,38,174
NISSAN,MICRA,COMPACT,1.6,4,A4,X,8.8,6.6,7.8,36,184
PORSCHE,'PANAMERA 4S',FULL-SIZE,3,6,AM7,Z,13.4,8.8,11.4,25,262
MERCEDES-BENZ,'E 550 CABRIOLET',SUBCOMPACT,4.7,8,AS7,Z,13.7,9.2,11.7,24,275
INFINITI,Q70,MID-SIZE,3.7,6,AS7,Z,12.8,8.9,11,26,253
JEEP,'NEW COMPASS 4X4','SUV - SMALL',2.4,4,M6,X,10.8,7.6,9.4,30,221
MITSUBISHI,MIRAGE,COMPACT,1.2,3,AV,X,6.4,5.3,5.9,48,139
LEXUS,'RC F',SUBCOMPACT,5,8,AS8,Z,15.2,9.5,12.6,22,290
BMW,'328i xDRIVE TOURING','STATION WAGON - SMALL',2,4,A8,Z,10.6,7.2,9.1,31,209
BMW,'M850i xDrive Coupe',SUBCOMPACT,4.4,8,AS8,Z,13.6,9.3,11.7,24,273
VOLKSWAGEN,'Atlas 4MOTION','SUV - STANDARD',3.6,6,AS8,X,13.8,10.2,12.2,23,286
DODGE,'CHARGER AWD (MDS)',FULL-SIZE,5.7,8,A5,X,16.1,10,13.4,21,313
VOLVO,'XC70 3.2 AWD','SUV - SMALL',3.2,6,AS6,X,13.1,9.1,11.3,25,260
JAGUAR,'E-PACE P250','SUV - SMALL',2,4,AS9,Z,11,8.4,9.8,29,231
LAMBORGHINI,'Huracan Performante Coupe',TWO-SEATER,5.2,10,AM7,Z,17.9,13,15.7,18,370
SUBARU,'OUTBACK AWD','SUV - SMALL',3.6,6,AV6,X,12,8.6,10.5,27,242
MINI,'John Cooper Works Convertible',MINICOMPACT,2,4,AS6,Z,9.4,7.2,8.4,34,197
TOYOTA,'FJ CRUISER 4WD','SUV - SMALL',4,6,A5,X,14.3,11.2,12.9,22,297
HYUNDAI,ELANTRA,MID-SIZE,2,4,AS6,X,8.3,6.4,7.4,38,174
SCION,xD,SUBCOMPACT,1.8,4,M5,X,8.6,7.1,7.9,36,182
FORD,'Mustang Convertible',SUBCOMPACT,5,8,AS10,X,15.4,9.7,12.9,22,302
MITSUBISHI,RVR,'SUV - SMALL',2,4,M5,X,9.9,7.6,8.8,32,202
RAM,'1500 FFV','PICKUP TRUCK - STANDARD',3.6,6,A8,X,13.9,9.6,11.9,24,280
SUBARU,'FORESTER AWD','SUV - SMALL',2.5,4,M6,X,10.6,8.4,9.6,29,227
'ALFA ROMEO','Stelvio AWD','SUV - SMALL',2,4,A8,Z,10.8,8.3,9.6,29,226
LEXUS,'NX 300h AWD','SUV - SMALL',2.5,4,AV6,X,7.1,7.7,7.4,38,170
AUDI,'A6 QUATTRO',MID-SIZE,3,6,AS8,Z,11.6,7.9,9.9,29,232
VOLVO,S80,MID-SIZE,3.2,6,AS6,X,11.9,8.1,10.2,28,235
CHEVROLET,Colorado,'PICKUP TRUCK - SMALL',3.6,6,A8,X,13.4,9.6,11.7,24,273
CHEVROLET,'CITY EXPRESS','SPECIAL PURPOSE VEHICLE',2,4,AV,X,9.8,9,9.4,30,220
NISSAN,'Titan 4WD','PICKUP TRUCK - STANDARD',5.6,8,AS7,X,15.2,11.1,13.4,21,315
KIA,'SEDONA SXL',MINIVAN,3.3,6,AS6,X,14.2,10.5,12.5,23,296
CADILLAC,CTS,MID-SIZE,3.6,6,AS8,X,11.6,7.9,9.9,29,233
FORD,'F-150 FFV','PICKUP TRUCK - STANDARD',3.7,6,A6,X,14,10.3,12.3,23,283
DODGE,'CHARGER AWD',FULL-SIZE,5.7,8,A5,X,16,10.1,13.3,21,312
GMC,'YUKON XL 4WD','SUV - STANDARD',5.3,8,A6,X,15.3,10.9,13.3,21,313
MINI,'COOPER S COUNTRYMAN ALL4',COMPACT,1.6,4,A6,Z,10,7.8,9,31,207
PORSCHE,'PANAMERA TURBO EXECUTIVE',FULL-SIZE,4,8,AM8,Z,12.8,9.2,11.2,25,261
TOYOTA,'HIGHLANDER AWD','SUV - STANDARD',3.5,6,AS6,X,13,9.7,11.5,25,264
BMW,'M850i xDrive Gran Coupe',MID-SIZE,4.4,8,AS8,Z,14.5,9.9,12.4,23,290
NISSAN,'JUKE NISMO RS AWD','STATION WAGON - SMALL',1.6,4,AV8,Z,9.4,8.1,8.8,32,202
MERCEDES-BENZ,'SL 550',TWO-SEATER,4.7,8,AS7,Z,13.4,9.6,11.7,24,269
BENTLEY,'CONTINENTAL GT',SUBCOMPACT,4,8,AS8,Z,16.3,9.8,13.4,21,314
GMC,YUKON,'SUV - STANDARD',5.3,8,A6,X,16,11.1,13.8,20,317
MINI,'Cooper Clubman ALL4',MID-SIZE,1.5,3,AS8,Z,10.2,7.6,9,31,212
PORSCHE,'MACAN TURBO','SUV - SMALL',3.6,6,A7,Z,14.2,10.1,12.3,23,287
JEEP,'Renegade 4X4 Trailhawk','SUV - SMALL',1.3,4,A9,X,10.8,8.7,9.9,29,230
PORSCHE,'911 CARRERA 4S',MINICOMPACT,3,6,M7,Z,12.1,8.4,10.4,27,243
CHEVROLET,SPARK,SUBCOMPACT,1.4,4,AV,X,7.6,5.7,6.7,42,157
NISSAN,370Z,TWO-SEATER,3.7,6,M6,Z,13.3,9.3,11.5,25,269
TOYOTA,AVALON,MID-SIZE,3.5,6,AS6,X,11.3,7.6,9.6,29,221
MERCEDES-BENZ,'E 350 CABRIOLET',SUBCOMPACT,3.5,6,AS7,Z,12,8.5,10.4,27,239
BMW,'328d xDRIVE',COMPACT,2,4,A8,D,7.6,5.5,6.7,42,181
HYUNDAI,ELANTRA,MID-SIZE,2,4,M6,X,9.8,7,8.5,33,196
INFINITI,'Q50S AWD',MID-SIZE,3,6,AS7,Z,12.9,9,11.1,25,262
TOYOTA,'RAV4 Hybrid AWD','SUV - SMALL',2.5,4,AV6,X,5.8,6.3,6,47,140
FORD,'F-150 FFV 4X4 (Payload Pkg)','PICKUP TRUCK - STANDARD',5,8,AS6,X,16.8,12.4,14.8,19,347
RAM,'1500 Classic 4X4','PICKUP TRUCK - STANDARD',5.7,8,A6,X,18.7,13.3,16.3,17,382
SUBARU,'OUTBACK AWD','SUV - SMALL',2.5,4,AV6,X,9.4,7.3,8.4,34,198
BMW,'X5 M','SUV - STANDARD',4.4,8,AS8,Z,16.6,12.1,14.6,19,336
CHEVROLET,'Silverado 4WD LT Trail Boss','PICKUP TRUCK - STANDARD',5.3,8,A10,X,14.7,11.2,13.1,22,307
TOYOTA,TUNDRA,'PICKUP TRUCK - STANDARD',4.6,8,AS6,X,15.8,12.3,14.2,20,334
FORD,Mustang,SUBCOMPACT,5,8,M6,X,16.1,9.9,13.3,21,311
MINI,'COOPER CONVERTIBLE',MINICOMPACT,1.6,4,A6,Z,8.7,6.6,7.8,36,179
BMW,'440i xDrive Coupe',COMPACT,3,6,M6,Z,13,8.5,11,26,256
VOLKSWAGEN,'GOLF SPORTWAGON TDI (modified)','STATION WAGON - SMALL',2,4,M6,D,7.6,5.5,6.7,42,179
KIA,'OPTIMA HYBRID',MID-SIZE,2,4,AS6,X,6,5.1,5.6,50,132
BMW,'M4 COUPE',COMPACT,3,6,AM7,Z,14.1,9.7,12.1,23,278
GMC,'ACADIA AWD','SUV - STANDARD',3.6,6,A6,X,13.5,9.5,11.7,24,275
FORD,EDGE,'SUV - SMALL',3.5,6,AS6,X,13.4,9,11.4,25,268
GMC,YUKON,'SUV - STANDARD',5.3,8,A6,X,15.1,10.4,13,22,305
AUDI,'A4 QUATTRO',COMPACT,2,4,AS8,Z,11,7.8,9.6,29,221
FORD,'FOCUS FFV',COMPACT,2,4,M5,X,9.3,6.7,8.1,35,186
PORSCHE,Macan,'SUV - SMALL',2,4,AM7,Z,12.2,10.2,11.3,25,264
VOLVO,'V60 POLESTAR','STATION WAGON - SMALL',2,4,AS8,Z,11.8,8.5,10.3,27,241
CHEVROLET,TAHOE,'SUV - STANDARD',5.3,8,A6,X,15.1,10.4,13,22,305
FORD,'TAURUS AWD',FULL-SIZE,3.5,6,AS6,X,13.7,9.4,11.8,24,271
HONDA,'Ridgeline AWD','PICKUP TRUCK - STANDARD',3.5,6,AS9,X,12.6,10,11.4,25,269
VOLKSWAGEN,Tiguan,'SUV - SMALL',2,4,AS8,X,10.5,8.1,9.4,30,221
MINI,'COOPER CLUBMAN',SUBCOMPACT,1.6,4,M6,Z,8.6,6.8,7.8,36,179
CHEVROLET,'EXPRESS 2500 PASSENGER','VAN - PASSENGER',6,8,A6,X,22,14.9,18.8,15,441
KIA,SEDONA,MINIVAN,3.5,6,A6,X,13.7,9.9,12,24,276
PORSCHE,'CAYENNE TURBO S','SUV - STANDARD',4.8,8,A8,Z,16.7,11.2,14.2,20,334
JEEP,'NEW COMPASS 4X4','SUV - SMALL',2.4,4,M6,X,10.8,7.6,9.4,30,221
BMW,'M8 Gran Coupe Competition',MID-SIZE,4.4,8,AS8,Z,16,11,13.8,20,322
GMC,'Sierra 4WD AT4','PICKUP TRUCK - STANDARD',5.3,8,A8,X,15.1,11.4,13.4,21,314
MERCEDES-BENZ,'SL 550',TWO-SEATER,4.7,8,A9,Z,13.5,9.3,11.6,24,270
TOYOTA,'SEQUOIA 4WD','SUV - STANDARD',5.7,8,AS6,X,19,13.9,16.7,17,384
FORD,FIESTA,SUBCOMPACT,1.6,4,AS6,X,8.7,6.4,7.6,37,175
KIA,Optima,FULL-SIZE,2,4,AS6,X,11.2,7.9,9.7,29,230
'LAND ROVER','RANGE ROVER V8 5.0 SC FFV','SUV - STANDARD',5,8,AS8,E,25,16.9,21.4,13,342
GMC,'Terrain AWD','SUV - SMALL',1.5,4,A9,X,9.5,8.3,9,31,210
FORD,'TAURUS FFV AWD',FULL-SIZE,3.5,6,AS6,X,13.6,9.8,12.4,23,291
BUICK,'LACROSSE eASSIST',MID-SIZE,2.5,4,A6,X,9.3,6.7,8.1,35,190
AUDI,'S6 QUATTRO',MID-SIZE,4,8,AM7,Z,13.3,8.8,11.3,25,263
PORSCHE,'CAYMAN S',TWO-SEATER,3.4,6,AM7,Z,11.3,7.9,9.8,29,230
RAM,'1500 4X4','PICKUP TRUCK - STANDARD',5.7,8,A6,X,17.5,12.7,15.4,18,361
CHEVROLET,'Colorado ZR2 4WD','PICKUP TRUCK - SMALL',2.8,4,A6,D,13.3,10.6,12.1,23,326
BENTLEY,'FLYING SPUR',MID-SIZE,6,12,AS8,Z,20.4,12,16.6,17,389
MASERATI,GRANTURISMO,SUBCOMPACT,4.7,8,AS6,Z,18.2,11.4,15.1,19,355
MINI,'Cooper Countryman ALL4',MID-SIZE,1.5,3,AS8,Z,9.8,7.1,8.6,33,200
AUDI,'A6 quattro',MID-SIZE,3,6,AM7,Z,10.7,8.2,9.6,29,224
CHEVROLET,'CORVETTE Z06',TWO-SEATER,6.2,8,AS8,Z,17.7,10.2,14.3,20,335
TOYOTA,'Tacoma 4WD','PICKUP TRUCK - SMALL',3.5,6,M6,X,13.8,11.4,12.7,22,299
TOYOTA,'SEQUOIA 4WD','SUV - STANDARD',5.7,8,AS6,X,18.8,14,16.6,17,382
DODGE,'Durango AWD SRT','SUV - STANDARD',6.4,8,A8,Z,18.3,12.2,15.6,18,363
RAM,'1500 4X4 FFV','PICKUP TRUCK - STANDARD',3.6,6,A8,E,20.7,14.7,18,16,300
DODGE,'CHARGER (MDS)',FULL-SIZE,5.7,8,A8,X,14.8,9.3,12.3,23,289
FORD,'Escape AWD','SUV - SMALL',2,4,AS8,X,10.4,7.5,9.1,31,213
SUBARU,'OUTBACK AWD','SUV - SMALL',2.5,4,M6,X,11,8.3,9.8,29,229
PORSCHE,'911 CARRERA GTS CABRIOLET',MINICOMPACT,3.8,6,AM7,Z,12.7,9.2,11.1,25,260
FORD,Edge,'SUV - SMALL',2,4,AS8,X,10.9,8,9.6,29,224
AUDI,'RS 5 Sportback',MID-SIZE,2.9,6,AS8,Z,13.5,9,11.5,25,268
HONDA,'Civic Coupe',COMPACT,2,4,AV,X,7.8,6.1,7.1,40,164
AUDI,'Q5 HYBRID QUATTRO','SUV - SMALL',2,4,AS8,Z,9.8,7.9,8.9,32,209
BUICK,'Encore AWD','SUV - SMALL',1.4,4,AS6,X,9.9,8.1,9.1,31,214
LEXUS,'NX 200t AWD','SUV - SMALL',2,4,AS6,Z,10.6,8.4,9.6,29,221
FORD,'Transit Connect Van','SPECIAL PURPOSE VEHICLE',2,4,AS8,X,9.8,8.8,9.3,30,219
MAZDA,'CX-5 (Cylinder Deactivation)','SUV - SMALL',2.5,4,AS6,X,9.3,7.6,8.5,33,201
CADILLAC,'ATS AWD',COMPACT,2,4,AS6,Z,11.8,8.1,10.1,28,232
SUBARU,'FORESTER AWD','SUV - SMALL',2.5,4,M6,X,10.9,8.3,9.7,29,228
GMC,'YUKON XL 4WD','SUV - STANDARD',6.2,8,A8,Z,16.4,11.7,14.3,20,334
TOYOTA,TUNDRA,'PICKUP TRUCK - STANDARD',5.7,8,AS6,X,17.2,12.9,15.3,18,358
MERCEDES-BENZ,'ML 63 AMG 4MATIC','SUV - STANDARD',5.5,8,AS7,Z,17.3,13.5,15.6,18,359
PORSCHE,'CAYENNE PLATINUM','SUV - STANDARD',3.6,6,A8,Z,13.6,10.2,12.1,23,281
LEXUS,'RX 350 AWD','SUV - SMALL',3.5,6,AS8,X,12.2,9,10.8,26,252
MERCEDES-BENZ,'E 250 BLUETEC 4MATIC',MID-SIZE,2.1,4,AS7,D,8.5,5.7,7.2,39,194
KIA,'FORTE KOUP',COMPACT,2,4,M6,X,10,7.4,8.8,32,206
LEXUS,'RX 450h AWD','SUV - STANDARD',3.5,6,AV6,Z,7.7,8.2,8,35,186
